Year,Income Tax (adj),Sales/Value Added Taxes (adj),National Insurance (adj),Business and Other Revenue (adj),Other (adj),Other (adj),Transportation (adj),Property Taxes (adj),Excise Taxes (adj),Capital Tax (adj)
1900,1940000000,4890000000,0,1730000000,1790000000,1790000000,0,260000000,7220000000,1910000000
1901,2820000000,5310000000,0,1810000000,1860000000,1860000000,0,260000000,7620000000,1800000000
1902,3680000000,5740000000,0,1880000000,1930000000,1930000000,0,260000000,8020000000,1960000000
1903,4120000000,5120000000,0,1950000000,3110000000,3110000000,0,280000000,8520000000,1920000000
1904,3300000000,6570000000,0,2060000000,2490000000,2490000000,0,290000000,8420000000,1840000000
1905,3340000000,6890000000,0,2120000000,2160000000,2160000000,0,300000000,8510000000,1780000000
1906,3310000000,7060000000,0,2210000000,2150000000,2150000000,0,280000000,8260000000,1820000000
1907,3280000000,7120000000,0,2230000000,2170000000,2170000000,0,270000000,7960000000,1980000000
1908,3390000000,7190000000,0,2330000000,1200000000,1200000000,0,280000000,7960000000,2000000000
1909,3550000000,7430000000,0,2340000000,2230000000,2230000000,0,270000000,7410000000,1930000000
1910,1380000000,7570000000,0,2380000000,2450000000,2450000000,0,70000000,7180000000,2250000000
1911,6370000000,7750000000,0,2510000000,1920000000,1920000000,0,440000000,8529999999,2620000000
1912,4490000000,7690000000,0,2580000000,1920000000,1920000000,0,290000000,8170000000,2550000000
1913,4500000000,7920000000,0,2930000000,2100000000,2100000000,0,270000000,8199999999,2530000000
1914,4780000000,8340000000,0,3120000000,2320000000,2320000000,0,270000000,8410000000,2770000000
1915,6180000000,7610000000,0,2650000000,2130000000,2130000000,0,230000000,7890000000,2530000000
1916,9970000000,6820000000,0,2640000000,2250000000,2250000000,0,210000000,9920000000,2410000000
1917,21540000000,5290000000,0,2140000000,2630000000,2630000000,0,160000000,8420000000,1950000000
1918,24640000000,4720000000,0,1890000000,4139999999,4139999999,0,140000000,6350000000,1700000000
1919,26500000000,4550000000,0,1840000000,3940000000,3940000000,0,110000000,8029999999,1390000000
1920,25370000000,4800000000,0,1730000000,12750000000,12750000000,0,100000000,11950000000,1600000000
1921,26360000000,7450000000,0,2130000000,21560000000,21560000000,310000000,110000000,10290000000,2049999999
1922,22260000000,9580000000,0,2810000000,12360000000,12360000000,550000000,130000000,17140000000,2600000000
1923,21390000000,9510000000,0,2860000000,6660000000,6660000000,660000000,150000000,16260000000,3060000000
1924,19370000000,8950000000,0,2900000000,5670000000,5670000000,810000000,140000000,15880000000,3170000000
1925,19490000000,8910000000,0,3050000000,5080000000,5080000000,890000000,70000000,14150000000,3270000000
1926,18750000000,9350000000,0,3170000000,6210000000,6210000000,1000000000,40000000,14510000000,3380000000
1927,17129999999,10220000000,0,3310000000,7230000000,7230000000,1200000000,40000000,14920000000,3780000000
1928,17650000000,10820000000,0,3580000000,7470000000,7470000000,1390000000,30000000,15760000000,4380000000
1929,16800000000,10890000000,0,3730000000,8130000000,8130000000,1450000000,30000000,16190000000,4610000000
1930,16950000000,10230000000,0,3930000000,7560000000,7560000000,1550000000,40000000,15750000000,4600000000
1931,19050000000,10060000000,0,4070000000,8790000000,8790000000,1630000000,40000000,15650000000,4860000000
1932,21900000000,10110000000,0,4190000000,6920000000,6920000000,1650000000,40000000,16430000000,3910000000
1933,19040000000,10150000000,0,4280000000,5990000000,5990000000,1700000000,40000000,18430000000,4700000000
1934,17310000000,10450000000,0,4460000000,6280000000,6280000000,1890000000,40000000,18990000000,5240000000
1935,17090000000,10790000000,0,4520000000,7070000000,7070000000,1920000000,40000000,19150000000,4970000000
1936,17490000000,11340000000,0,4710000000,5700000000,5700000000,1860000000,40000000,19910000000,5320000000
1937,18200000000,11520000000,0,4860000000,6040000000,6040000000,1910000000,30000000,20480000000,5150000000
1938,20330000000,11530000000,0,4950000000,5620000000,5620000000,1980000000,0,20560000000,5090000000
1939,23400000000,12040000000,0,4930000000,4970000000,4970000000,1980000000,0,20120000000,4310000000
1940,24610000000,11500000000,0,4400000000,5420000000,5420000000,1720000000,0,21080000000,3930000000
1941,31830000000,10530000000,0,4650000000,5460000000,5460000000,1740000000,0,24820000000,3690000000
1942,47440000000,9610000000,0,4870000000,8330000000,8330000000,1640000000,0,30590000000,3870000000
1943,59570000000,9280000000,0,4690000000,13650000000,13650000000,1160000000,0,40410000000,3810000000
1944,68239999999,8960000000,0,4300000000,7450000000,7450000000,1060000000,0,41130000000,3860000000
1945,72470000000,8980000000,0,4450000000,8039999999,8039999999,1110000000,0,41680000000,4230000000
1946,70290000000,9390000000,0,4280000000,7500000000,7500000000,1600000000,0,42090000000,4460000000
1947,53080000000,45200000000,6310000000,3560000000,1150000000,1150000000,0,4139999999,0,5060000000
1948,45580000000,48900000000,8220000000,7520000000,1150000000,1150000000,0,3680000000,0,5630000000
1949,50390000000,51480000000,11200000000,20390000000,1150000000,1150000000,0,4690000000,0,6980000000
1950,55260000000,50570000000,13390000000,23830000000,1260000000,1260000000,0,3770000000,0,7290000000
1951,51900000000,49150000000,12540000000,24510000000,1250000000,1250000000,0,3880000000,0,5400000000
1952,54090000000,49380000000,12110000000,24090000000,1220000000,1220000000,0,3940000000,0,4890000000
1953,59510000000,48490000000,12690000000,24750000000,1270000000,1270000000,0,4110000000,0,4190000000
1954,55090000000,49330000000,13550000000,27960000000,1360000000,1360000000,0,4630000000,0,4350000000
1955,53240000000,49020000000,13040000000,29100000000,1570000000,1570000000,0,4740000000,0,4520000000
1956,52000000000,49560000000,14260000000,29100000000,1630000000,1630000000,0,4850000000,0,4130000000
1957,54460000000,49340000000,14220000000,30040000000,1660000000,1660000000,0,5630000000,0,3710000000
1958,55730000000,48870000000,14760000000,30420000000,1730000000,1730000000,0,5880000000,0,3790000000
1959,58120000000,49020000000,18610000000,30410000000,1840000000,1840000000,0,6130000000,0,4000000000
1960,55430000000,51410000000,18960000000,27400000000,1970000000,1970000000,0,6780000000,0,4730000000
1961,57540000000,51390000000,18420000000,29750000000,2100000000,2100000000,0,6960000000,0,4760000000
1962,63660000000,53810000000,22270000000,30760000000,2200000000,2200000000,0,7260000000,0,5080000000
1963,64379999999,54360000000,22900000000,32960000000,2670000000,2670000000,0,7900000000,0,5180000000
1964,61610000000,55130000000,25200000000,35110000000,2630000000,2630000000,0,8330000000,0,5800000000
1965,65269999999,59170000000,25540000000,36900000000,2690000000,2690000000,0,8570000000,0,5190000000
1966,72750000000,60090000000,29120000000,38610000000,3320000000,3320000000,0,9210000000,0,4860000000
1967,77160000000,64720000000,29440000000,39980000000,3430000000,3430000000,0,9900000000,0,4850000000
1968,82720000000,69560000000,30540000000,42460000000,3590000000,3590000000,0,9700000000,0,5120000000
1969,88950000000,75570000000,31790000000,46570000000,4480000000,4480000000,0,9540000000,0,6630000000
1970,94040000000,78950000000,30740000000,45450000000,4230000000,4230000000,0,9250000000,0,5340000000
1971,95760000000,78370000000,32490000000,44180000000,4139999999,4139999999,0,9100000000,0,4680000000
1972,94700000000,72830000000,33900000000,45880000000,4190000000,4190000000,0,9880000000,0,5290000000
1973,88990000000,69390000000,36450000000,47340000000,4210000000,4210000000,0,10270000000,0,4900000000
1974,91210000000,60470000000,36880000000,48740000000,3850000000,3850000000,0,9880000000,0,3740000000
1975,101680000000,56850000000,38540000000,46980000000,3260000000,3260000000,0,9000000000,0,2420000000
1976,109480000000,60550000000,44220000000,52460000000,4219999999,4219999999,0,10460000000,0,2040000000
1977,109680000000,60990000000,47840000000,59960000000,3940000000,3940000000,0,10120000000,0,2089999999
1978,102810000000,68420000000,47230000000,58760000000,4269999999,4269999999,0,10880000000,0,1970000000
1979,99980000000,69460000000,43330000000,57510000000,4040000000,4040000000,0,10470000000,0,1620000000
1980,98760000000,80710000000,42360000000,54160000000,3770000000,3770000000,0,10290000000,0,1630000000
1981,103530000000,84160000000,45150000000,57010000000,4110000000,4110000000,0,11770000000,0,1500000000
1982,114030000000,90120000000,47830000000,63870000000,4490000000,4490000000,0,13130000000,0,2580000000
1983,117360000000,90400000000,51520000000,66290000000,5060000000,5060000000,0,14240000000,0,1580000000
1984,117730000000,92350000000,55770000000,64510000000,5340000000,5340000000,0,12960000000,0,1770000000
1985,124470000000,97640000000,56420000000,57480000000,5340000000,5340000000,0,13180000000,0,1850000000
1986,128570000000,96440000000,58490000000,60320000000,6090000000,6090000000,0,13850000000,0,2260000000
1987,123050000000,102720000000,60110000000,53700000000,6010000000,6010000000,0,15190000000,0,2360000000
1988,130410000000,105620000000,59840000000,52850000000,6070000000,6070000000,0,15750000000,0,2350000000
1989,131030000000,107450000000,62160000000,53040000000,5860000000,5860000000,0,17090000000,0,2140000000
1990,135820000000,105540000000,61170000000,50220000000,5780000000,5780000000,0,17680000000,0,2270000000
1991,136509999999,125100000000,59910000000,44670000000,5650000000,5650000000,0,20190000000,0,2170000000
1992,137710000000,137270000000,60870000000,41470000000,5650000000,5650000000,0,12370000000,0,2160000000
1993,126370000000,135500000000,59720000000,39110000000,6040000000,6040000000,0,13800000000,0,1960000000
1994,125260000000,138790000000,63970000000,40310000000,6650000000,6650000000,0,12820000000,0,2130000000
1995,136710000000,145090000000,66640000000,40620000000,6840000000,6840000000,0,13490000000,0,2190000000
1996,144160000000,150590000000,67260000000,44200000000,6870000000,6870000000,0,13980000000,0,2270000000
1997,153000000000,155720000000,70610000000,43480000000,8620000000,8620000000,0,13930000000,0,2330000000
1998,164830000000,100550000000,76510000000,44690000000,19990000000,19990000000,31860000000,15110000000,28430000000,6320000000
1999,177080000000,104330000000,80280000000,44860000000,20560000000,20560000000,35670000000,16670000000,29410000000,6440000000
2000,191330000000,110020000000,81990000000,44380000000,21020000000,21020000000,37010000000,17610000000,32920000000,2940000000
2001,203150000000,114650000000,88390000000,48160000000,19580000000,19580000000,37480000000,19220000000,32750000000,3150000000
2002,200430000000,119350000000,88100000000,47650000000,20760000000,20760000000,36330000000,20300000000,30350000000,3470000000
2003,193200000000,121800000000,86560000000,47040000000,21410000000,21410000000,37000000000,21820000000,30350000000,3800000000
2004,196010000000,128900000000,99860000000,48430000000,22080000000,22080000000,36900000000,24090000000,31160000000,4150000000
2005,210420000000,129229999999,104710000000,49170000000,22600000000,22600000000,38250000000,24920000000,30290000000,4680000000
2006,227970000000,129570000000,107680000000,54070000000,22620000000,22620000000,38880000000,25570000000,31120000000,5000000000
2007,238760000000,135229999999,111420000000,53660000000,23420000000,23420000000,40710000000,26230000000,29960000000,5300000000
2008,248750000000,134680000000,113460000000,58170000000,25750000000,25750000000,41450000000,26760000000,30620000000,5430000000
2009,242740000000,132070000000,115860000000,64080000000,26980000000,26980000000,35270000000,28160000000,30320000000,4440000000
2010,219700000000,127220000000,114080000000,62400000000,28260000000,28260000000,36690000000,28320000000,32340000000,3580000000
2011,231950000000,142730000000,113490000000,64819999999,34210000000,34210000000,38570000000,28410000000,31910000000,3890000000
2012,228060000000,156740000000,116200000000,66290000000,34220000000,34220000000,37650000000,28070000000,32909999999,4090000000
2013,219720000000,158430000000,117140000000,79820000000,34690000000,34690000000,37530000000,27940000000,31330000000,4219999999
2014,219660000000,162670000000,117610000000,84190000000,36650000000,36650000000,39730000000,28770000000,31870000000,5550000000
2015,227800000000,166490000000,119480000000,85600000000,38500000000,38500000000,41190000000,29300000000,30900000000,4700000000
2016,235730000000,172250000000,122990000000,84030000000,40270000000,40270000000,41890000000,30010000000,31260000000,5900000000
2017,247260000000,175100000000,132690000000,85570000000,41860000000,41860000000,42500000000,30840000000,31070000000,5800000000
2018,251650000000,177350000000,136460000000,82160000000,46000000000,46000000000,42950000000,32159999999,31310000000,6330000000
2019,261970000000,183330000000,139840000000,77290000000,47480000000,47480000000,41520000000,34259999999,32009999999,6300000000
2020,264940000000,181260000000,143900000000,78270000000,49540000000,49540000000,39820000000,35010000000,32080000000,5770000000
2021,243360000000,145150000000,135500000000,74840000000,41490000000,41490000000,28600000000,34320000000,30590000000,5820000000
2022,292170000000,175300000000,150570000000,73520000000,43660000000,43660000000,39170000000,36540000000,32990000000,6360000000
