Year,Inflation,GDP-UK £ billion nominal,Population-UK million,Transportation-total £ billion ,,Property Taxes-total £ billion ,,Excise Taxes-total £ billion ,,Capital-total £ billion ,,Other-total £ billion ,
1900,4.09,measuringworth.com/ukgdp,41.155,0.00,a,0.26,a,7.22,a,1.91,a,1.79,a
1901,-1.38,measuringworth.com/ukgdp,41.538,0.00,a,0.26,a,7.62,a,1.80,a,1.86,a
1902,-1.04,measuringworth.com/ukgdp,41.893,0.00,a,0.26,a,8.02,a,1.96,a,1.93,a
1903,-0.25,measuringworth.com/ukgdp,42.247,0.00,a,0.28,a,8.52,a,1.92,a,3.11,a
1904,-1.1,measuringworth.com/ukgdp,42.611,0.00,a,0.29,a,8.42,a,1.84,a,2.49,a
1905,0.48,measuringworth.com/ukgdp,42.981,0.00,a,0.30,a,8.51,a,1.78,a,2.16,a
1906,1.4,measuringworth.com/ukgdp,43.361,0.00,a,0.28,a,8.26,a,1.82,a,2.15,a
1907,1.58,measuringworth.com/ukgdp,43.738,0.00,a,0.27,a,7.96,a,1.98,a,2.17,a
1908,-0.74,measuringworth.com/ukgdp,44.124,0.00,a,0.28,a,7.96,a,2.00,a,1.20,a
1909,-0.35,measuringworth.com/ukgdp,44.520,0.00,a,0.27,a,7.41,a,1.93,a,2.23,a
1910,1.44,measuringworth.com/ukgdp,44.916,0.00,a,0.07,a,7.18,a,2.25,a,2.45,a
1911,0.58,measuringworth.com/ukgdp,42.190,0.00,a,0.44,a,8.53,a,2.62,a,1.92,a
1912,2.61,measuringworth.com/ukgdp,42.374,0.00,a,0.29,a,8.17,a,2.55,a,1.92,a
1913,-0.17,measuringworth.com/ukgdp,42.582,0.00,a,0.27,a,8.20,a,2.53,a,2.10,a
1914,-0.8,measuringworth.com/ukgdp,42.957,0.00,a,0.27,a,8.41,a,2.77,a,2.32,a
1915,14.36,measuringworth.com/ukgdp,41.362,0.00,a,0.23,a,7.89,a,2.53,a,2.13,a
1916,14.76,measuringworth.com/ukgdp,40.536,0.00,a,0.21,a,9.92,a,2.41,a,2.25,a
1917,24.35,measuringworth.com/ukgdp,39.781,0.00,a,0.16,a,8.42,a,1.95,a,2.63,a
1918,16.79,measuringworth.com/ukgdp,39.582,0.00,a,0.14,a,6.35,a,1.70,a,4.14,a
1919,15.24,measuringworth.com/ukgdp,42.944,0.00,a,0.11,a,8.03,a,1.39,a,3.94,a
1920,16.64,measuringworth.com/ukgdp,43.646,0.00,a,0.10,a,11.95,a,1.60,a,12.75,a
1921,-8.17,measuringworth.com/ukgdp,43.904,0.31,a,0.11,a,10.29,a,2.05,a,21.56,a
1922,-14.46,measuringworth.com/ukgdp,44.332,0.55,a,0.13,a,17.14,a,2.60,a,12.36,a
1923,-7.53,measuringworth.com/ukgdp,44.563,0.66,a,0.15,a,16.26,a,3.06,a,6.66,a
1924,-2.09,measuringworth.com/ukgdp,44.886,0.81,a,0.14,a,15.88,a,3.17,a,5.67,a
1925,-0.26,measuringworth.com/ukgdp,45.040,0.89,a,0.07,a,14.15,a,3.27,a,5.08,a
1926,-0.42,measuringworth.com/ukgdp,45.218,1.00,a,0.04,a,14.51,a,3.38,a,6.21,a
1927,-1.94,measuringworth.com/ukgdp,45.432,1.20,a,0.04,a,14.92,a,3.78,a,7.23,a
1928,-0.89,measuringworth.com/ukgdp,45.622,1.39,a,0.03,a,15.76,a,4.38,a,7.47,a
1929,-0.84,measuringworth.com/ukgdp,45.731,1.45,a,0.03,a,16.19,a,4.61,a,8.13,a
1930,-0.84,measuringworth.com/ukgdp,45.889,1.55,a,0.04,a,15.75,a,4.60,a,7.56,a
1931,-1.83,measuringworth.com/ukgdp,46.074,1.63,a,0.04,a,15.65,a,4.86,a,8.79,a
1932,-2.24,measuringworth.com/ukgdp,46.335,1.65,a,0.04,a,16.43,a,3.91,a,6.92,a
1933,-1.39,measuringworth.com/ukgdp,46.520,1.70,a,0.04,a,18.43,a,4.70,a,5.99,a
1934,-0.87,measuringworth.com/ukgdp,46.666,1.89,a,0.04,a,18.99,a,5.24,a,6.28,a
1935,0.79,measuringworth.com/ukgdp,46.869,1.92,a,0.04,a,19.15,a,4.97,a,7.07,a
1936,0.89,measuringworth.com/ukgdp,47.081,1.86,a,0.04,a,19.91,a,5.32,a,5.70,a
1937,3.46,measuringworth.com/ukgdp,47.289,1.91,a,0.03,a,20.48,a,5.15,a,6.04,a
1938,2.36,measuringworth.com/ukgdp,47.494,1.98,a,0.00,a,20.56,a,5.09,a,5.62,a
1939,2.88,measuringworth.com/ukgdp,47.548,1.98,a,0.00,a,20.12,a,4.31,a,4.97,a
1940,11.13,measuringworth.com/ukgdp,46.029,1.72,a,0.00,a,21.08,a,3.93,a,5.42,a
1941,11.47,measuringworth.com/ukgdp,44.870,1.74,a,0.00,a,24.82,a,3.69,a,5.46,a
1942,7.49,measuringworth.com/ukgdp,44.323,1.64,a,0.00,a,30.59,a,3.87,a,8.33,a
1943,4.44,measuringworth.com/ukgdp,48.262,1.16,a,0.00,a,40.41,a,3.81,a,13.65,a
1944,5.01,measuringworth.com/ukgdp,48.460,1.06,a,0.00,a,41.13,a,3.86,a,7.45,a
1945,1.63,measuringworth.com/ukgdp,48.669,1.11,a,0.00,a,41.68,a,4.23,a,8.04,a
1946,2.81,measuringworth.com/ukgdp,48.988,1.60,a,0.00,a,42.09,a,4.46,a,7.50,a
1947,9.08,measuringworth.com/ukgdp,49.539,0.00,a,4.14,a,0.00,a,5.06,a,1.15,a
1948,6.3,measuringworth.com/ukgdp,50.033,0.00,a,3.68,a,0.00,a,5.63,a,1.15,a
1949,3.18,measuringworth.com/ukgdp,50.331,0.00,a,4.69,a,0.00,a,6.98,a,1.15,a
1950,1.34,measuringworth.com/ukgdp,50.382,0.00,a,3.77,a,0.00,a,7.29,a,1.26,a
1951,8.55,measuringworth.com/ukgdp,50.287,0.00,a,3.88,a,0.00,a,5.40,a,1.25,a
1952,7.1,measuringworth.com/ukgdp,50.429,0.00,a,3.94,a,0.00,a,4.89,a,1.22,a
1953,1.83,measuringworth.com/ukgdp,50.593,0.00,a,4.11,a,0.00,a,4.19,a,1.27,a
1954,1.13,measuringworth.com/ukgdp,50.765,0.00,a,4.63,a,0.00,a,4.35,a,1.36,a
1955,4.92,measuringworth.com/ukgdp,50.946,0.00,a,4.74,a,0.00,a,4.52,a,1.57,a
1956,7.04,measuringworth.com/ukgdp,51.184,0.00,a,4.85,a,0.00,a,4.13,a,1.63,a
1957,4.08,measuringworth.com/ukgdp,51.430,0.00,a,5.63,a,0.00,a,3.71,a,1.66,a
1958,3.71,measuringworth.com/ukgdp,51.653,0.00,a,5.88,a,0.00,a,3.79,a,1.73,a
1959,0.76,measuringworth.com/ukgdp,51.956,0.00,a,6.13,a,0.00,a,4.00,a,1.84,a
1960,1.11,measuringworth.com/ukgdp,52.373,0.00,a,6.78,a,0.00,a,4.73,a,1.97,a
1961,3.88,measuringworth.com/ukgdp,52.807,0.00,a,6.96,a,0.00,a,4.76,a,2.10,a
1962,3.65,measuringworth.com/ukgdp,53.292,0.00,a,7.26,a,0.00,a,5.08,a,2.20,a
1963,1.55,measuringworth.com/ukgdp,53.625,0.00,a,7.90,a,0.00,a,5.18,a,2.67,a
1964,3.79,measuringworth.com/ukgdp,53.991,0.00,a,8.33,a,0.00,a,5.80,a,2.63,a
1965,6.06,measuringworth.com/ukgdp,54.350,0.00,a,8.57,a,0.00,a,5.19,a,2.69,a
1966,5.42,measuringworth.com/ukgdp,54.643,0.00,a,9.21,a,0.00,a,4.86,a,3.32,a
1967,3.05,measuringworth.com/ukgdp,54.959,0.00,a,9.90,a,0.00,a,4.85,a,3.43,a
1968,4.44,measuringworth.com/ukgdp,55.214,0.00,a,9.70,a,0.00,a,5.12,a,3.59,a
1969,6.76,measuringworth.com/ukgdp,55.461,0.00,a,9.54,a,0.00,a,6.63,a,4.48,a
1970,9.9,measuringworth.com/ukgdp,55.632,0.00,a,9.25,a,0.00,a,5.34,a,4.23,a
1971,8.57,measuringworth.com/ukgdp,55.928,0.00,a,9.10,a,0.00,a,4.68,a,4.14,a
1972,7.9,measuringworth.com/ukgdp,56.097,0.00,a,9.88,a,0.00,a,5.29,a,4.19,a
1973,9.37,measuringworth.com/ukgdp,56.223,0.00,a,10.27,a,0.00,a,4.90,a,4.21,a
1974,15.8,measuringworth.com/ukgdp,56.236,0.00,a,9.88,a,0.00,a,3.74,a,3.85,a
1975,25.7,measuringworth.com/ukgdp,56.226,0.00,a,9.00,a,0.00,a,2.42,a,3.26,a
1976,16,measuringworth.com/ukgdp,56.216,0.00,a,10.46,a,0.00,a,2.04,a,4.22,a
1977,14.17,measuringworth.com/ukgdp,56.190,0.00,a,10.12,a,0.00,a,2.09,a,3.94,a
1978,12.32,measuringworth.com/ukgdp,56.178,0.00,a,10.88,a,0.00,a,1.97,a,4.27,a
1979,14.97,measuringworth.com/ukgdp,56.240,0.00,a,10.47,a,0.00,a,1.62,a,4.04,a
1980,19.7,measuringworth.com/ukgdp,56.330,0.00,a,10.29,a,0.00,a,1.63,a,3.77,a
1981,12.31,measuringworth.com/ukgdp,56.358,0.00,a,11.77,a,0.00,a,1.50,a,4.11,a
1982,8.16,measuringworth.com/ukgdp,56.291,0.00,a,13.13,a,0.00,a,2.58,a,4.49,a
1983,5.78,measuringworth.com/ukgdp,56.316,0.00,a,14.24,a,0.00,a,1.58,a,5.06,a
1984,5.33,measuringworth.com/ukgdp,56.409,0.00,a,12.96,a,0.00,a,1.77,a,5.34,a
1985,5.62,measuringworth.com/ukgdp,56.554,0.00,a,13.18,a,0.00,a,1.85,a,5.34,a
1986,4.62,measuringworth.com/ukgdp,56.684,0.00,a,13.85,a,0.00,a,2.26,a,6.09,a
1987,5.69,measuringworth.com/ukgdp,56.804,0.00,a,15.19,a,0.00,a,2.36,a,6.01,a
1988,6.25,measuringworth.com/ukgdp,56.916,0.00,a,15.75,a,0.00,a,2.35,a,6.07,a
1989,8.03,measuringworth.com/ukgdp,57.077,0.00,a,17.09,a,0.00,a,2.14,a,5.86,a
1990,8.12,measuringworth.com/ukgdp,57.238,0.00,a,17.68,a,0.00,a,2.27,a,5.78,a
1991,6.56,measuringworth.com/ukgdp,57.439,0.00,a,20.19,a,0.00,a,2.17,a,5.65,a
1992,3.16,measuringworth.com/ukgdp,57.585,0.00,a,12.37,a,0.00,a,2.16,a,5.65,a
1993,2.79,measuringworth.com/ukgdp,57.714,0.00,a,13.80,a,0.00,a,1.96,a,6.04,a
1994,1.4,measuringworth.com/ukgdp,57.862,0.00,a,12.82,a,0.00,a,2.13,a,6.65,a
1995,2.5,measuringworth.com/ukgdp,58.025,0.00,a,13.49,a,0.00,a,2.19,a,6.84,a
1996,4.22,measuringworth.com/ukgdp,58.164,0.00,a,13.98,a,0.00,a,2.27,a,6.87,a
1997,-0.07,measuringworth.com/ukgdp,58.314,0.00,a,13.93,a,0.00,a,2.33,a,8.62,a
1998,1.07,measuringworth.com/ukgdp,58.475,31.86,a,15.11,a,28.43,a,6.32,a,19.99,a
1999,0.97,measuringworth.com/ukgdp,58.684,35.67,a,16.67,a,29.41,a,6.44,a,20.56,a
2000,1.89,measuringworth.com/ukgdp,58.886,37.01,a,17.61,a,32.92,a,2.94,a,21.02,a
2001,1.15,measuringworth.com/ukgdp,59.113,37.48,a,19.22,a,32.75,a,3.15,a,19.58,a
2002,2.15,measuringworth.com/ukgdp,59.366,36.33,a,20.30,a,30.35,a,3.47,a,20.76,a
2003,2.45,measuringworth.com/ukgdp,59.637,37.00,a,21.82,a,30.35,a,3.80,a,21.41,a
2004,2.59,measuringworth.com/ukgdp,59.950,36.90,a,24.09,a,31.16,a,4.15,a,22.08,a
2005,2.78,measuringworth.com/ukgdp,60.413,38.25,a,24.92,a,30.29,a,4.68,a,22.60,a
2006,2.88,measuringworth.com/ukgdp,60.827,38.88,a,25.57,a,31.12,a,5.00,a,22.62,a
2007,2.76,measuringworth.com/ukgdp,61.319,40.71,a,26.23,a,29.96,a,5.30,a,23.42,a
2008,3.07,measuringworth.com/ukgdp,61.824,41.45,a,26.76,a,30.62,a,5.43,a,25.75,a
2009,-0.87,measuringworth.com/ukgdp,62.261,35.27,a,28.16,a,30.32,a,4.44,a,26.98,a
2010,1.54,1848.7,62.760,36.69,a,28.32,a,32.34,a,3.58,a,28.26,a
2011,1.71,1895.9,63.285,38.57,a,28.41,a,31.91,a,3.89,a,34.21,a
2012,1.53,1917.8,63.705,37.65,a,28.07,a,32.91,a,4.09,a,34.22,a
2013,2.05,1946.7,64.106,37.53,a,27.94,a,31.33,a,4.22,a,34.69,a
2014,2.34,1991,64.597,39.73,a,28.77,a,31.87,a,5.55,a,36.65,a
2015,1.18,2049.6,65.110,41.19,a,29.30,a,30.90,a,4.70,a,38.50,a
2016,0.64,2101.8,65.648,41.89,a,30.01,a,31.26,a,5.90,a,40.27,a
2017,2.29,2149.5,66.040,42.50,a,30.84,a,31.07,a,5.80,a,41.86,a
2018,1.75,2189.7,66.436,42.95,a,32.16,a,31.31,a,6.33,a,46.00,a
2019,1.99,2230.1,66.797,41.52,a,34.26,a,32.01,a,6.30,a,47.48,a
2020,2.34,2243.5,67.844,39.82,a,35.01,a,32.08,a,5.77,a,49.54,a
2021,5.12,2015.9,68.138,28.60,a,34.32,a,30.59,a,5.82,a,41.49,a
2022,-0.98,2238.8,68.414,39.17,a,36.54,a,32.99,a,6.36,a,43.66,a
